Rating,Size,Industry,Sector,Ownership,Revenue,min_salary,max_salary,avg_salary,age,python,spark,aws,excel,LLMs,sql,Job_simp,seniority
4.4,1001 - 5000 Employees,Internet & Web Services,Information Technology,Subsidiary or Business Segment,10000+ million ,3,9,6,19.0,1,0,0,0,0,1,data engineer,na
4.0,1001 - 5000 Employees,Business consulting,Manufacturing,Company - Private,10000+ million ,20,25,22,58.0,0,0,0,0,1,0,data scientist,senior
4.0,1001 - 5000 Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,25,25,25,58.0,1,1,1,0,0,1,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,4,30,17,58.0,1,0,0,0,0,0,na,senior
4.0,1 - 50 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,14,16,15,58.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,6,25,15,58.0,0,0,0,0,0,0,data scientist,senior
3.8,10000+ Employees,Business consulting,Management and consulting,Company - Public,10000+ million ,4,9,6,48.0,1,0,0,1,0,1,data scientist,na
3.5,5001 - 10000 Employees,Information Technology Support Services,Information Technology,Company - Public,100 - 500 million ,10,40,25,48.0,0,0,0,0,1,0,mle,na
3.4,51 - 200 Employees,Business consulting,Finance,Company - Private,10000+ million ,5,18,11,48.0,0,0,0,0,0,0,na,na
4.1,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,4,7,5,40.0,0,0,0,0,1,0,na,na
4.0,201 - 500 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,4,30,17,40.0,0,0,0,0,0,0,data scientist,jr
3.7,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,3,8,5,43.0,1,0,0,0,0,1,na,na
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,4,30,17,43.0,0,0,0,0,0,0,data scientist,na
3.7,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,4,30,17,43.0,1,1,0,0,0,1,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,12,15,13,43.0,1,0,0,0,0,1,data scientist,na
4.2,10000+ Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,4,30,17,10.0,0,0,0,1,0,0,data scientist,senior
3.7,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,3,8,5,43.0,1,0,1,1,0,1,data scientist,na
4.0,201 - 500 Employees,Information Technology Support Services,Manufacturing,Company - Public,10000+ million ,2,6,4,43.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Finance,Company - Private,10000+ million ,15,30,22,43.0,1,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Business consulting,Finance,Company - Private,10000+ million ,15,30,22,43.0,1,0,0,0,0,0,na,na
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,3,8,5,43.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,4,30,17,43.0,0,0,0,0,0,0,data scientist,na
3.4,10000+ Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,4,30,17,43.0,0,0,0,1,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,2,10,6,43.0,1,1,0,0,0,0,na,na
4.4,201 - 500 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,4,30,17,44.0,0,0,0,0,0,0,data scientist,na
4.1,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,2,3,2,44.0,0,0,0,0,0,0,data scientist,na
4.0,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,4,9,6,21.0,1,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,2,10,6,21.0,1,0,0,0,0,0,mle,na
4.0,10000+ Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,4,30,17,21.0,0,0,0,0,0,0,na,na
3.7,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,4,30,17,21.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,4,30,17,21.0,1,0,0,1,1,1,mle,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,10,10,10,49.0,0,0,1,0,0,0,na,senior
4.0,1 - 50 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,3,7,5,49.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,24,24,24,49.0,1,0,0,0,0,0,data scientist,senior
4.3,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,4,30,17,49.0,0,0,0,0,0,0,data scientist,senior
3.8,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,4,30,17,49.0,0,0,0,0,0,0,data scientist,na
3.7,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,5000 - 10000 million ,4,8,6,79.0,0,0,0,0,1,0,data scientist,na
4.6,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,1 - 5 million ,3,4,3,79.0,0,0,0,0,1,0,mle,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,2,10,6,79.0,0,0,0,0,0,0,mle,na
4.3,10000+ Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Company - Public,10000+ million ,5,5,5,101.0,0,0,0,0,0,0,data scientist,na
3.9,201 - 500 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,4,30,17,101.0,0,0,0,0,0,0,na,na
4.0,10000+ Employees,Transportation Equipment Manufacturing,Manufacturing,Company - Public,10000+ million ,7,9,8,121.0,0,0,0,0,0,0,data scientist,na
3.9,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,4,30,17,8.0,1,0,0,1,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,5,15,10,8.0,1,0,0,0,1,0,mle,na
4.0,10000+ Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,4,30,17,8.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,5 - 25 million ,10,10,10,17.0,1,0,1,0,0,0,mle,na
4.1,201 - 500 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,8,8,8,9.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,7,10,8,9.0,0,0,0,0,0,0,mle,na
4.0,1001 - 5000 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,26,26,26,9.0,0,0,1,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,8,18,13,9.0,0,0,0,0,0,0,na,na
4.1,201 - 500 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,4,30,17,9.0,0,0,0,0,0,0,data scientist,na
3.9,201 - 500 Employees,Business consulting,Information Technology,Company - Public,10000+ million ,10,20,15,9.0,1,0,0,0,0,0,data scientist,na
4.1,51 - 200 Employees,HR Consulting,Human resources and staffing,Private Practice / Firm,10000+ million ,3,9,6,26.0,0,0,0,0,0,0,data scientist,na
3.6,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,6,6,6,57.0,1,0,0,0,0,0,data scientist,na
3.9,501 - 1000 Employees,Information Technology Support Services,Information Technology,Company - Private,100 - 500 million ,12,12,12,12.0,0,0,0,0,0,0,na,na
4.0,10000+ Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,4,30,17,12.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,15,20,17,12.0,1,0,0,0,0,0,data scientist,senior
4.1,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,4,30,17,12.0,0,0,0,0,0,0,data scientist,senior
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,4,10,7,49.0,0,0,1,0,1,0,na,na
3.4,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,5000 - 10000 million ,6,7,6,101.0,0,0,0,0,0,0,data scientist,na
3.5,10000+ Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,4,30,17,101.0,0,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Business consulting,Management and consulting,Company - Public,2000 - 5000 million ,9,9,9,45.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,10,20,15,45.0,0,0,0,0,0,0,data scientist,senior
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,4,30,17,45.0,0,0,0,0,0,0,data scientist,na
4.8,1 - 50 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,5 - 25 million ,5,6,5,10.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,4,30,17,10.0,0,0,0,0,0,0,na,na
4.1,51 - 200 Employees,HR Consulting,Human resources and staffing,Private Practice / Firm,10000+ million ,3,9,6,26.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,4,30,17,26.0,1,1,0,0,0,0,data scientist,na
3.8,10000+ Employees,Business consulting,Manufacturing,Company - Private,10000+ million ,4,30,17,57.0,0,0,0,0,0,0,manager,na
3.8,10000+ Employees,Business consulting,Finance,Company - Private,10000+ million ,4,30,17,57.0,1,0,0,0,0,1,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,4,7,5,57.0,0,0,0,0,0,0,data scientist,na
4.7,1 - 50 Employees,Software Development,Information Technology,Company - Private,1 - 5 million ,45,45,45,6.0,1,0,0,1,0,1,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,4,17,10,6.0,0,0,0,0,0,0,mle,senior
4.1,201 - 500 Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,4,30,17,10.0,0,0,0,0,0,0,data scientist,na
